Produit,Modèle,Longueur (mm),Largeur (mm),Hauteur (mm)
PEUGEOT 508,Peugeot 508,4750,1859,1403
SEAT LEON,SEAT León,4282,1816,1459
OPEL ZAFIRA TOURER,Opel Zafira Tourer,4666,1884,1685
FORD ECOSPORT,Ford EcoSport,4097,1765,1658
LEXUS NX HYBRIDE,Lexus NX Hybrid,4630,1845,1645
BMW SERIE 2 ACTIVE TOURER,BMW 2 Series Active Tourer,4342,1800,1555
HYUNDAI I30,Hyundai i30,4340,1795,1470
KIA SOUL,Kia Soul,4140,1800,1600
CITROEN LES OFFRES QUI TOMBENT A PIC C3 PICASSO,Citroën C3 Picasso,4078,1769,1624
PEUGEOT PRESTIGE AUTOMOBILE,Peugeot (Gamme Prestige),-,-,-
PEUGEOT LES IMMANQUABLES,Peugeot (Gamme),-,-,-
CITROEN LES OFFRES QUI TOMBENT A PIC C4 PICASSO,Citroën C4 Picasso,4428,1826,1624
VW TIGUAN 4X4 DI,Volkswagen Tiguan,4486,1839,1672
JEEP RENEGADE,Jeep Renegade,4236,1805,1687
VW GOLF,Volkswagen Golf,4258,1799,1452
VOLVO XC60,Volvo XC60,4688,1902,1678
OPEL ADAM ROCKS,Opel Adam Rocks,3698,1720,1498
NISSAN PULSAR,Nissan Pulsar,4612,1760,1520
FIAT 500 L FAMILY,Fiat 500L,4147,1784,1667
AUDI GAMME AUTOS,Audi (Gamme),-,-,-
VW TIGUAN 4X4,Volkswagen Tiguan,4486,1839,1672
PEUGEOT SERVICES,Peugeot (Services),-,-,-
VW POLO EDITION,Volkswagen Polo,3972,1682,1461
TOYOTA RAV4 LIFE DI,Toyota RAV4,4600,1855,1660
RENAULT FR,Renault (Gamme),-,-,-
LEXUS,Lexus (Gamme),-,-,-
DACIA JOURS SCANDALEUSEMENT ACCESSIBLES SANDERO,Dacia Sandero,4088,1733,1517
DACIA JOURS SCANDALEUSEMENT ACCESSIBLES DUSTER,Dacia Duster,4341,1804,1693
VW PASSAT,Volkswagen Passat,4767,1832,1456
AUDI TT CP,Audi TT,4191,1832,1353
VW PASSAT BK,Volkswagen Passat,4767,1832,1456
SMART FORFOUR,Smart ForFour,3495,1665,1554
AUDI A3 BK HYBRIDE,Audi A3,4313,1785,1425
MERCEDES CL.B,Mercedes-Benz Classe B,4393,1786,1557
SEAT LEON X PERIENCE,SEAT León X-Perience,4308,1816,1459
LAND ROVER PRESTIGE,Land Rover (Gamme Prestige),-,-,-
CITROEN OCCASIONS,Citroën (Occasions),-,-,-
CITROEN JOURS QUI FONT DU BIEN C3 PICASSO,Citroën C3 Picasso,4078,1769,1624
CITROEN JOURS QUI FONT DU BIEN C3,Citroën C3,3996,1748,1474
HYUNDAI I20,Hyundai i20,4035,1734,1490
PEUGEOT JOURS SUREQUIPES 208,Peugeot 208,3996,1739,1460
PEUGEOT JOURS SUREQUIPES 2008,Peugeot 2008,4159,1749,1556
FORD MONDEO,Ford Mondeo,4871,1852,1482
VW TOURAN CUP,Volkswagen Touran,4527,1829,1665
CITROEN C4 PICASSO SELECTION DI,Citroën C4 Picasso,4428,1826,1624
DS DS3 INES DE LA FRESSANGE,DS 3,3948,1715,1483
FIAT 500 L PETIT BATEAU,Fiat 500L,4147,1784,1667
KIA CEE D REVELATION,Kia Ceed,4510,1800,1470
VW GOLF EDITION,Volkswagen Golf,4258,1799,1452
FIAT 500 X,Fiat 500X,4250,1796,1596
PEUGEOT 508 STYLE DI,Peugeot 508,4750,1859,1403
SKODA FABIA BK,Škoda Fabia,3992,1732,1467
RANGE ROVER EVOQUE ENTREPRISE,Range Rover Evoque,4371,1900,1649
PEUGEOT LES IMMANQUABLES 2008,Peugeot 2008,4159,1749,1556
CITROEN JOURS QUI FONT DU BIEN C4 PICASSO,Citroën C4 Picasso,4428,1826,1624
TOYOTA YARIS,Toyota Yaris,3940,1695,1500
LEXUS CT200 HYBRIDE,Lexus CT 200h,4320,1765,1430
LAND ROVER DISCOVERY,Land Rover Discovery,4970,2073,1846
ALFA GIULIETTA SPRINT,Alfa Romeo Giulietta,4351,1798,1465
AUDI Q3,Audi Q3,4388,1831,1585
JAGUAR XE,Jaguar XE,4672,1967,1416
MERCEDES CL.A,Mercedes-Benz Classe A,4292,1780,1433
DS DS3 EMERAUDE ADDICT,DS 3,3948,1715,1483
MERCEDES CLA BK,Mercedes-Benz CLA,4630,1777,1421
BMW SERIE 1,BMW Série 1,4329,1765,1421
KIA SPORTAGE EDITION 7 DI,Kia Sportage,4480,1850,1635
FIAT 500 CAB,Fiat 500C,3571,1627,1488
CITROEN C4 SPACETOURER,Citroën C4 SpaceTourer,4602,1860,1628
DACIA LES JOURS 10 ANS LODGY,Dacia Lodgy,4499,1751,1636
DACIA LES JOURS 10 ANS DUSTER,Dacia Duster,4341,1804,1693
DACIA LES JOURS 10 ANS SANDERO,Dacia Sandero,4088,1733,1517
VW GOLF HYBRIDE,Volkswagen Golf,4258,1799,1452
HONDA CRV 4X4,Honda CR-V,4585,1820,1679
SUZUKI VITARA,Suzuki Vitara,4175,1775,1610
MAZDA 2,Mazda 2,4060,1695,1500
RENAULT ESPACE,Renault Espace,4853,1869,1694
SKODA GAMME TOUR DE FRANCE,Škoda (Gamme),-,-,-
SKODA OCTAVIA BK,Škoda Octavia,4689,1814,1465
HONDA CIVIC,Honda Civic,4640,1799,1416
HONDA CIVIC BK,Honda Civic,4640,1799,1416
HONDA CIVIC TYPE R,Honda Civic Type R,4532,1877,1434
ALFA LES PURES EMOTIONS GIULIETTA EDIZIONE,Alfa Romeo Giulietta,4351,1798,1465
BMW SERIE 2 GRAN TOURER,BMW 2 Series Gran Tourer,4556,1800,1608
OPEL MOKKA DI,Opel Mokka,4135,1777,1647
PEUGEOT GAMME AUTOS,Peugeot (Gamme),-,-,-
FIAT JOURNEES XTRAORDINAIRES 500,Fiat 500,3571,1627,1488
RENAULT GAMME AUTOS,Renault (Gamme),-,-,-
PORSCHE PRESTIGE,Porsche (Gamme Prestige),-,-,-
AUDI PRESTIGE,Audi (Gamme Prestige),-,-,-
SSANGYONG TIVOLI,SsangYong Tivoli,4202,1798,1590
AUDI Q7,Audi Q7,5086,1968,1740
RENAULT KADJAR,Renault Kadjar,4489,1836,1607
GAC GS4,GAC GS4,4545,1856,1680
FIAT HAPPY HOURS 500,Fiat 500,3571,1627,1488
PEUGEOT UN ETE TOUT COMPRIS 2008,Peugeot 2008,4159,1749,1556
SKODA PRESTIGE,Škoda (Gamme Prestige),-,-,-
PGO AUTOMOBILES PRESTIGE,PGO (Gamme Prestige),-,-,-
PEUGEOT UN ETE TOUT COMPRIS 3008,Peugeot 3008,4447,1841,1624
HONDA GAMME AUTOS,Honda (Gamme),-,-,-
TOYOTA PRESTIGE AUTOMOBILES,Toyota (Gamme Prestige),-,-,-
PEUGEOT LES IMMANQUABLES 108,Peugeot 108,3475,1615,1460
PEUGEOT LES IMMANQUABLES 308,Peugeot 308,4253,1820,1457
MAZDA CX 3,Mazda CX-3,4275,1765,1535
NISSAN 4X4 GAMME,Nissan (Gamme 4x4),-,-,-
ALFA GAMME EDIZIONE,Alfa Romeo (Gamme Édition),-,-,-
VW POLO LOUNGE,Volkswagen Polo,3972,1682,1461
CITROEN JOURS QUI FONT DU BIEN C4 CACTUS,Citroën C4 Cactus,4157,1729,1480
HYUNDAI TUCSON DI,Hyundai Tucson,4475,1850,1650
TOYOTA GAMME AUTOS,Toyota (Gamme),-,-,-
VOLVO XC90,Volvo XC90,4950,2008,1773
MERCEDES GAMME AUTOS,Mercedes-Benz (Gamme),-,-,-
SUZUKI SWIFT,Suzuki Swift,3840,1695,1500
FIAT JOURNEES ORIGINALES 500,Fiat 500,3571,1627,1488
SEAT IBIZA,SEAT Ibiza,4059,1693,1444
VOLVO V40 CROSS COUNTRY,Volvo V40 Cross Country,4370,1802,1477
VOLVO V60 BK CROSS COUNTRY,Volvo V60 Cross Country,4635,1865,1484
INFINITI Q50,Infiniti Q50,4795,1825,1445
HONDA HR-V 4X4,Honda HR-V,4335,1770,1605
SKODA SUPERB,Škoda Superb,4861,1864,1468
FIAT 500 X DI,Fiat 500X,4250,1796,1596
VW TOURAN,Volkswagen Touran,4527,1829,1665
DS GAMME AUTO,DS (Gamme),-,-,-
DS DS3 DARK LIGHT,DS 3,3948,1715,1483
KIA CEE D ACTIVE,Kia Ceed,4510,1800,1470
MINI CLUBMAN,MINI Clubman,4253,1800,1441
OPEL ONSTAR APPLICATION,Opel (Application OnStar),-,-,-
CAPTURTHENIGHT FR,Renault Captur,4228,1797,1566
SKODA SUPERB COMBI BK,Škoda Superb Combi,4861,1864,1483
RENAULT EASY PACK TWINGO,Renault Twingo,3600,1646,1559
RENAULT EASY PACK CAPTUR,Renault Captur,4228,1797,1566
RENAULT EASY PACK CLIO,Renault Clio,4050,1732,1440
CITROEN C1 FEEL,Citroën C1,3466,1615,1460
BMW SERIE 7,BMW Série 7,5238,1902,1479
AUDI A4 BK,Audi A4,4726,1842,1427
VW INST.REPRISE+ POLO,Volkswagen Polo,3972,1682,1461
VW INST.REPRISE+ GOLF,Volkswagen Golf,4258,1799,1452
DACIA LES JOURS 10 ANS ET DEMI DUSTER,Dacia Duster,4341,1804,1693
DACIA LES JOURS 10 ANS ET DEMI SANDERO,Dacia Sandero,4088,1733,1517
VW PRESTIGE,Volkswagen (Gamme Prestige),-,-,-
CITROEN BERLINGO,Citroën Berlingo,4380,1810,1815
FORD GAMME AUTOS,Ford (Gamme),-,-,-
VW PASSAT HYBRIDE,Volkswagen Passat,4767,1832,1456
VW PASSAT BK HYBRIDE,Volkswagen Passat,4767,1832,1456
RENAULT EASY PACK DAYS CLIO,Renault Clio,4050,1732,1440
RENAULT EASY PACK DAYS CAPTUR,Renault Captur,4228,1797,1566
VW OFFRES REPRISE+ GOLF,Volkswagen Golf,4258,1799,1452
VW OFFRES REPRISE+ POLO,Volkswagen Polo,3972,1682,1461
RENAULT TALISMAN,Renault Talisman,4853,1869,1459
RENAULT EASY PACK DAYS TWINGO,Renault Twingo,3600,1646,1559
RENAULT FRENCH TOUCH SCENIC,Renault Scénic,4406,1866,1645
RENAULT FRENCH TOUCH CAPTUR,Renault Captur,4228,1797,1566
LEXUS RX,Lexus RX,4890,1895,1685
VW GOLF SPORTSVAN ALLSTAR,Volkswagen Golf Sportsvan,4338,1807,1507
VW POLO ALLSTAR,Volkswagen Polo,3972,1682,1461
VW GOLF ALLSTAR,Volkswagen Golf,4258,1799,1452
TOYOTA RAV4 HYBRIDE,Toyota RAV4,4600,1855,1660
PEUGEOT COMPETITION,Peugeot (Compétition),-,-,-
INFINITI Q30,Infiniti Q30,4425,1805,1495
VW TOURAN CONFORTLINE,Volkswagen Touran,4527,1829,1665
NISSAN NAVARA,Nissan Navara,5250,1850,1845
CITROEN C1 MILLENIUM,Citroën C1,3466,1615,1460
KADJARQUEST FR,Renault Kadjar,4489,1836,1607
HYUNDAI I20 INTUITIVE STYLE,Hyundai i20,4035,1734,1490
FORD S MAX,Ford S-MAX,4796,1916,1658
CITROEN C4 VITAMINE,Citroën C4,4360,1800,1489
SUZUKI CELERIO,Suzuki Celerio,3600,1600,1540
HONDA JAZZ,Honda Jazz,3995,1694,1525
AUDI A4,Audi A4,4726,1842,1427
PEUGEOT 2008 STYLE,Peugeot 2008,4159,1749,1556
OPEL CORSA PLAY,Opel Corsa,4060,1765,1433
TOYOTA AYGO X PLAY TOUCH,Toyota Aygo,3455,1615,1460
JEEP RENEGADE BROOKLYN EDITION,Jeep Renegade,4236,1805,1687
VOLVO XC60 DI,Volvo XC60,4688,1902,1678
TOYOTA YARIS DYNAMIC,Toyota Yaris,3940,1695,1500
LEXUS CT HYBRIDE,Lexus CT 200h,4320,1765,1430
VOLKSWAGEN ET MOI FR,Volkswagen (Gamme),-,-,-
RENAULT OCCASIONS,Renault (Occasions),-,-,-
FIAT TIPO,Fiat Tipo,4532,1792,1495
PEUGEOT 3008 HYBRIDE DI,Peugeot 3008,4447,1841,1624
MINI CAB,MINI Cabrio,3821,1683,1414
KIA RIO UEFA,Kia Rio,4065,1725,1455
DACIA JOURS PLUS MALINS DUSTER,Dacia Duster,4341,1804,1693
DACIA JOURS PLUS MALINS SANDERO,Dacia Sandero,4088,1733,1517
BMW GAMME HYBRIDE,BMW (Gamme Hybride),-,-,-
MERCEDES CL.E,Mercedes-Benz Classe E,4923,1852,1468
VW TOURAN ALLSTAR,Volkswagen Touran,4527,1829,1665
PEUGEOT 208 STYLE,Peugeot 208,3996,1739,1460
PEUGEOT 508 HYBRIDE DI,Peugeot 508,4750,1859,1403
KIA CEE D UEFA EURO 2016,Kia Ceed,4510,1800,1470
JAGUAR F PACE,Jaguar F-Pace,4731,2071,1667
SUZUKI BALENO HYBRIDE,Suzuki Baleno,3995,1745,1470
PEUGEOT LES JOURS PEUGEOT A 0%,Peugeot (Gamme),-,-,-
CITROEN JOURS PLUS C3,Citroën C3,3996,1748,1474
CITROEN JOURS PLUS C4,Citroën C4,4360,1800,1489
PEUGEOT 308 STYLE,Peugeot 308,4253,1820,1457
VWETMOI FR,Volkswagen (Gamme),-,-,-
NISSAN GAMME AUTOS,Nissan (Gamme),-,-,-
HYUNDAI I20 UEFA EURO 2016,Hyundai i20,4035,1734,1490
LEXUS NX300 HYBRIDE,Lexus NX 300h,4630,1845,1645
JEEP GAMME AUTO,Jeep (Gamme),-,-,-
JAGUAR GAMME AUTOS,Jaguar (Gamme),-,-,-
CITROEN JOURS PLUS C4 PICASSO,Citroën C4 Picasso,4428,1826,1624
FORD RANGER DOUBLE CABINE DI,Ford Ranger,5359,1860,1817
VOLVO V90 BK PREMIUM,Volvo V90,4936,1879,1475
LAND ROVER,Land Rover (Gamme),-,-,-
JAGUAR PRESTIGE AUTOMOBILE,Jaguar (Gamme Prestige),-,-,-
JAGUAR GAMME ENTREPRISE,Jaguar (Gamme Entreprise),-,-,-
CITROEN C4 CACTUS RIP CURL,Citroën C4 Cactus,4157,1729,1480
ALFA GIULIA,Alfa Romeo Giulia,4643,1860,1436
RANGE ROVER EVOQUE CAB,Range Rover Evoque Cabrio,4371,1900,1649
AUDI COMPETITION,Audi (Compétition),-,-,-
VOLVO V90 BK,Volvo V90,4936,1879,1475
ROSNEFT LADA SPORT,Lada Sport,-,-,-
RENAULT SERVICE PARE BRISE,Renault (Service),-,-,-
SSANGYONG XLV,SsangYong XLV,4410,1800,1625
TOYOTA VERSO DESIGN,Toyota Verso,4440,1790,1620
FIAT 500 RIVA,Fiat 500,3571,1627,1488
RENAULT PRESTIGE AUTOMOBILE,Renault (Gamme Prestige),-,-,-
SEAT ATECA,SEAT Ateca,4363,1841,1616
VW GOLF MATCH,Volkswagen Golf,4258,1799,1452
VW UP,Volkswagen Up!,3540,1641,1480
CITROEN C1 MENTOS,Citroën C1,3466,1615,1460
KIA NIRO HYBRIDE,Kia Niro,4355,1805,1535
AUDI A3,Audi A3,4313,1785,1425
PEUGEOT 308 ALLURE,Peugeot 308,4253,1820,1457
LEXUS GAMME HYBRIDE,Lexus (Gamme Hybride),-,-,-
RENAULT SCENIC,Renault Scénic,4406,1866,1645
VW GAMME HYBRIDE,Volkswagen (Gamme Hybride),-,-,-
HYUNDAI I20 GO,Hyundai i20,4035,1734,1490
OPEL MOKKA X,Opel Mokka X,4271,1781,1658
MERCEDES PRESTIGE AUTOMOBILE,Mercedes-Benz (Gamme Prestige),-,-,-
VOL,,,,
FORD EDGE,Ford Edge,4779,1928,1702
HYUNDAI IONIQ HYBRIDE,Hyundai Ioniq Hybrid,4470,1820,1450
VOLVO XC60 MOMENTUM,Volvo XC60,4688,1902,1678
BMW X1,BMW X1,4439,1821,1598
PEUGEOT LES TRES BELLES REPRISES 108,Peugeot 108,3475,1615,1460
PEUGEOT LES TRES BELLES REPRISES 208,Peugeot 208,3996,1739,1460
KIA OPTIMA HYBRIDE,Kia Optima Hybrid,4855,1860,1460
NISSAN X TRAIL 4X4 DI,Nissan X-Trail,4640,1820,1710
SKODADRIVERS FR,Škoda (Gamme),-,-,-
FORD KA+,Ford Ka+,3935,1756,1524
TOYOTA C HR HYBRIDE,Toyota C-HR,4360,1795,1565
PEUGEOT LES TRES BELLES REPRISES 308,Peugeot 308,4253,1820,1457
PEUGEOT 2008 ALLURE,Peugeot 2008,4159,1749,1556
SUZUKI IGNIS HYBRID,Suzuki Ignis,3700,1660,1595
CITROEN LES JOURS C MAINTENANT C4 PICASSO,Citroën C4 Picasso,4428,1826,1624
VOLVO XC90 HYBRIDE,Volvo XC90,4950,2008,1773
OPEL CORSA ENJOY,Opel Corsa,4060,1765,1433
LESIEGE RENAULT FR,Renault (Gamme),-,-,-
TOYOTA GAMME TECHNOLINE,Toyota (Gamme),-,-,-
MINI COUNTRYMAN,MINI Countryman,4299,1822,1557
CITROEN GAMME AUTOS,Citroën (Gamme),-,-,-
VOLVO V90 BK CROSS COUNTRY,Volvo V90 Cross Country,4936,1879,1541
AUDI Q5,Audi Q5,4663,1893,1659
BMW SERIE 5,BMW Série 5,4936,1868,1468
CITROEN C4 CACTUS ONETONE,Citroën C4 Cactus,4157,1729,1480
SKODA KODIAQ,Škoda Kodiaq,4697,1882,1676
PEUGEOT 108 COLLECTION,Peugeot 108,3475,1615,1460
VW INST.VOLKSW.GAMME,Volkswagen (Gamme),-,-,-
SKODA LES JOURS NOUVEAUX DEPARTS KODIAQ,Škoda Kodiaq,4697,1882,1676
VW INST.VOLKSW.POLO,Volkswagen Polo,3972,1682,1461
VW INST.VOLKSW.TOURAN,Volkswagen Touran,4527,1829,1665
VW INST.VOLKSW.UP,Volkswagen Up!,3540,1641,1480
MY CITROEN APPLICATION,Citroën (Application),-,-,-
RENAULT KADJAR QUEST,Renault Kadjar,4489,1836,1607
NISSAN MICRA,Nissan Micra,3999,1743,1455
SKODA OCTAVIA,Škoda Octavia,4689,1814,1465
MAZDA MX 5 CAB,Mazda MX-5 Cabriolet,3915,1735,1235
CITROEN ADVISOR,Citroën (Advisor),-,-,-
PEUGEOT OCCASION,Peugeot (Occasions),-,-,-
VW E GOLF ELECTRIQUE,Volkswagen e-Golf,4258,1799,1452
NISSAN PRESTIGE,Nissan (Gamme Prestige),-,-,-
RENAULT GRAND SCENIC,Renault Grand Scénic,4635,1866,1679
HYUNDAI I30 DI EDITION #1,Hyundai i30,4340,1795,1470
